,Algo,Accuracy,Precision,Accuracy_after_max_feature,Precision_after_max_feature
0,kn,0.8965183752417795,1.0,0.9042553191489362,1.0
1,Etc,0.9738878143133463,0.9916666666666667,0.9796905222437138,1.0
2,RF,0.9700193423597679,0.9913793103448276,0.971953578336557,0.9915254237288136
3,NB,0.9613152804642167,0.9906542056074766,0.9729206963249516,0.9915966386554622
4,xgb,0.9748549323017408,0.9612403100775194,0.9680851063829787,0.9375
5,GBDT,0.9506769825918762,0.9519230769230769,0.9497098646034816,0.9514563106796117
6,SVC,0.971953578336557,0.9393939393939394,0.9758220502901354,0.9477611940298507
7,BgC,0.9613152804642167,0.8776978417266187,0.960348162475822,0.8768115942028986
8,LR,0.9439071566731141,0.865546218487395,0.9468085106382979,0.8629032258064516
9,DT,0.9487427466150871,0.8026315789473685,0.9526112185686654,0.8428571428571429
10,Adaboost,0.9148936170212766,0.7878787878787878,0.913926499032882,0.7916666666666666
